Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
,,,,,,Stock-Previous-Quarter-74,114.9200,Peer-1-Previous-Quarter-74,77.5900,Peer-2-Previous-Quarter-74,188.9400,Peer-3-Previous-Quarter-74,33.8200,Peer-4-Previous-Quarter-19,65.3500
,,,,,,Stock-Previous-Quarter-75,113.9500,Peer-1-Previous-Quarter-75,78.0900,Peer-2-Previous-Quarter-75,187.6400,Peer-3-Previous-Quarter-75,34.1900,Peer-4-Previous-Quarter-18,63.7100
,,,,,,Stock-Previous-Quarter-76,113.6900,Peer-1-Previous-Quarter-76,77.6500,Peer-2-Previous-Quarter-76,185.8000,Peer-3-Previous-Quarter-76,35.0100,Peer-4-Previous-Quarter-17,63.4200
,,,,,,Stock-Previous-Quarter-77,117.4200,Peer-1-Previous-Quarter-77,78.6600,Peer-2-Previous-Quarter-77,191.4400,Peer-3-Previous-Quarter-77,36.4100,Peer-4-Previous-Quarter-16,62.4200
,,,,,,Stock-Previous-Quarter-78,117.5300,Peer-1-Previous-Quarter-78,79.2900,Peer-2-Previous-Quarter-78,196.1700,Peer-3-Previous-Quarter-78,36.8200,Peer-4-Previous-Quarter-15,63.4400
,,,,,,Stock-Previous-Quarter-79,116.3900,Peer-1-Previous-Quarter-79,79.1600,Peer-2-Previous-Quarter-79,196.6700,Peer-3-Previous-Quarter-79,37.5500,Peer-4-Previous-Quarter-14,61.4700
,,,,,,Stock-Previous-Quarter-80,114.8900,Peer-1-Previous-Quarter-80,78.7600,Peer-2-Previous-Quarter-80,195.5500,Peer-3-Previous-Quarter-80,37.9300,Peer-4-Previous-Quarter-13,60.2400
,,,,,,Stock-Previous-Quarter-81,117.1400,Peer-1-Previous-Quarter-81,78.0600,Peer-2-Previous-Quarter-81,194.9200,Peer-3-Previous-Quarter-81,39.0400,Peer-4-Previous-Quarter-12,62.7700
,,,,,,Stock-Previous-Quarter-82,115.3600,Peer-1-Previous-Quarter-82,78.6800,Peer-2-Previous-Quarter-82,198.9100,Peer-3-Previous-Quarter-82,38.8800,Peer-4-Previous-Quarter-11,60.0500
,,,,,,Stock-Previous-Quarter-83,116.5300,Peer-1-Previous-Quarter-83,79.4000,Peer-2-Previous-Quarter-83,198.5000,Peer-3-Previous-Quarter-83,38.4700,Peer-4-Previous-Quarter-10,58.6300
,,,,,,Stock-Previous-Quarter-84,117.3600,Peer-1-Previous-Quarter-84,79.3600,Peer-2-Previous-Quarter-84,199.6500,Peer-3-Previous-Quarter-84,39.1900,Peer-4-Previous-Quarter-9,58.8200
,,,,,,Stock-Previous-Quarter-85,119.0000,Peer-1-Previous-Quarter-85,79.4600,Peer-2-Previous-Quarter-85,200.2600,Peer-3-Previous-Quarter-85,40.0400,Peer-4-Previous-Quarter-8,58.4900
,,,,,,Stock-Previous-Quarter-86,117.9800,Peer-1-Previous-Quarter-86,80.1900,Peer-2-Previous-Quarter-86,200.2100,Peer-3-Previous-Quarter-86,39.1700,Peer-4-Previous-Quarter-7,59.0700
,,,,,,Stock-Previous-Quarter-87,117.6700,Peer-1-Previous-Quarter-87,79.7400,Peer-2-Previous-Quarter-87,194.6100,Peer-3-Previous-Quarter-87,39.8000,Peer-4-Previous-Quarter-6,59.8000
,,,,,,Stock-Previous-Quarter-88,116.7900,Peer-1-Previous-Quarter-88,80.0500,Peer-2-Previous-Quarter-88,195.6800,Peer-3-Previous-Quarter-88,39.6800,Peer-4-Previous-Quarter-5,58.3800
,,,,,,Stock-Previous-Quarter-89,116.3700,Peer-1-Previous-Quarter-89,80.1600,Peer-2-Previous-Quarter-89,192.4900,Peer-3-Previous-Quarter-89,38.6500,Peer-4-Previous-Quarter-4,58.9800
,,,,,,Stock-Previous-Quarter-90,115.9400,Peer-1-Previous-Quarter-90,80.0300,Peer-2-Previous-Quarter-90,195.8700,Peer-3-Previous-Quarter-90,38.9200,Peer-4-Previous-Quarter-3,60.2500
,,,,,,Stock-Previous-Quarter-91,116.0300,Peer-1-Previous-Quarter-91,81.0300,Peer-2-Previous-Quarter-91,196.6000,Peer-3-Previous-Quarter-91,37.5300,Peer-4-Previous-Quarter-2,59.3600
,,,,,,Stock-Previous-Quarter-92,115.2700,Peer-1-Previous-Quarter-92,80.5400,Peer-2-Previous-Quarter-92,195.7000,Peer-3-Previous-Quarter-92,36.1000,Peer-4-Previous-Quarter-1,59.7600
