Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
,,,,,,Stock-Previous-Quarter-77,34.6100,Peer-1-Previous-Quarter-77,37.7700,Peer-2-Previous-Quarter-77,313.4300,Peer-3-Previous-Quarter-77,18.4700,Peer-4-Previous-Quarter-16,141.5100
,,,,,,Stock-Previous-Quarter-78,35.3500,Peer-1-Previous-Quarter-78,37.4500,Peer-2-Previous-Quarter-78,328.3400,Peer-3-Previous-Quarter-78,18.9000,Peer-4-Previous-Quarter-15,142.4500
,,,,,,Stock-Previous-Quarter-79,36.7100,Peer-1-Previous-Quarter-79,37.8600,Peer-2-Previous-Quarter-79,392.6800,Peer-3-Previous-Quarter-79,19.1200,Peer-4-Previous-Quarter-14,145.6100
,,,,,,Stock-Previous-Quarter-80,36.5200,Peer-1-Previous-Quarter-80,37.9500,Peer-2-Previous-Quarter-80,384.4000,Peer-3-Previous-Quarter-80,19.3000,Peer-4-Previous-Quarter-13,144.6700
,,,,,,Stock-Previous-Quarter-81,35.3200,Peer-1-Previous-Quarter-81,37.4000,Peer-2-Previous-Quarter-81,380.5700,Peer-3-Previous-Quarter-81,19.0900,Peer-4-Previous-Quarter-12,143.4600
,,,,,,Stock-Previous-Quarter-82,34.9700,Peer-1-Previous-Quarter-82,37.1000,Peer-2-Previous-Quarter-82,374.3100,Peer-3-Previous-Quarter-82,19.1200,Peer-4-Previous-Quarter-11,142.3000
,,,,,,Stock-Previous-Quarter-83,34.6200,Peer-1-Previous-Quarter-83,37.1700,Peer-2-Previous-Quarter-83,374.8900,Peer-3-Previous-Quarter-83,19.3000,Peer-4-Previous-Quarter-10,142.5400
,,,,,,Stock-Previous-Quarter-84,34.7700,Peer-1-Previous-Quarter-84,36.8900,Peer-2-Previous-Quarter-84,371.1700,Peer-3-Previous-Quarter-84,19.1700,Peer-4-Previous-Quarter-9,143.9000
,,,,,,Stock-Previous-Quarter-85,35.1500,Peer-1-Previous-Quarter-85,37.0700,Peer-2-Previous-Quarter-85,387.7900,Peer-3-Previous-Quarter-85,18.7500,Peer-4-Previous-Quarter-8,142.7900
,,,,,,Stock-Previous-Quarter-86,35.8600,Peer-1-Previous-Quarter-86,38.1800,Peer-2-Previous-Quarter-86,392.6900,Peer-3-Previous-Quarter-86,19.0200,Peer-4-Previous-Quarter-7,143.8100
,,,,,,Stock-Previous-Quarter-87,36.2800,Peer-1-Previous-Quarter-87,38.3300,Peer-2-Previous-Quarter-87,389.1600,Peer-3-Previous-Quarter-87,19.1900,Peer-4-Previous-Quarter-6,144.5700
